"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Journals","ACM Computing Surveys ","ACM Comput. Surv.","0360-0300","1557-7341","Volume 1 Issue 1 (March 1969)","Volume 46 Issue 1 (October 2013)","http://dl.acm.org/citation.cfm?id=J204","http://dl.acm.org/citation.cfm?id=J204&picked=prox"
"Journals","ACM Journal of Computer Documentation ","ACM J. Comput. Doc.","1527-6805","1557-9441","Volume 24 Issue 1 (Feb. 1, 2000)","Volume 26 Issue 4 (November 2002)","http://dl.acm.org/citation.cfm?id=J24","http://dl.acm.org/citation.cfm?id=J24&picked=prox"
"Journals","ACM Journal on Emerging Technologies in Computing Systems ","J. Emerg. Technol. Comput. Syst.","1550-4832","1550-4840","Volume 1 Issue 1 (April 2005)","Volume 9 Issue 4 (November 2013) - Special Issue on Bioinformatics","http://dl.acm.org/citation.cfm?id=J967","http://dl.acm.org/citation.cfm?id=J967&picked=prox"
"Journals","Journal of Data and Information Quality ","J. Data and Information Quality","1936-1955","1936-1963","Volume 1 Issue 1 (June 2009)","Volume 4 Issue 3 (May 2013)","http://dl.acm.org/citation.cfm?id=J1191","http://dl.acm.org/citation.cfm?id=J1191&picked=prox"
"Journals","Journal of Experimental Algorithmics ","J. Exp. Algorithmics","1084-6654","1084-6654","Volume 1 (1996)","Volume 18 (April 2013)","http://dl.acm.org/citation.cfm?id=J430","http://dl.acm.org/citation.cfm?id=J430&picked=prox"
"Journals","Journal of the ACM ","J. ACM","0004-5411","1557-735X","Volume 1 Issue 1 (Jan. 1954)","Volume 60 Issue 6 (November 2013)","http://dl.acm.org/citation.cfm?id=J401","http://dl.acm.org/citation.cfm?id=J401&picked=prox"
"Journals","Journal on Computing and Cultural Heritage ","J. Comput. Cult. Herit.","1556-4673","1556-4711","Volume 1 Issue 1 (June 2008)","Volume 6 Issue 3 (July 2013)","http://dl.acm.org/citation.cfm?id=J1157","http://dl.acm.org/citation.cfm?id=J1157&picked=prox"
"Journals","Journal on Educational Resources in Computing ","J. Educ. Resour. Comput.","1531-4278","1531-4278","Volume 1 Issue 1es (March 2001)","Volume 13 Issue 3 (August 2013) - Special Issue on Alternatives to Lecture in the Computer Science Classroom","http://dl.acm.org/citation.cfm?id=J814","http://dl.acm.org/citation.cfm?id=J814&picked=prox"
"Transactions","ACM Letters on Programming Languages and Systems ","ACM Lett. Program. Lang. Syst.","1057-4514","1557-7384","Volume 1 Issue 1 (March 1992)","Volume 2 Issue 1-4 (March&#8211;Dec. 1993)","http://dl.acm.org/citation.cfm?id=J513","http://dl.acm.org/citation.cfm?id=J513&picked=prox"
"Transactions","ACM Transactions on Accessible Computing ","ACM Trans. Access. Comput.","1936-7228","1936-7236","Volume 1 Issue 1 (May 2008)","Volume 5 Issue 2 (October 2013)","http://dl.acm.org/citation.cfm?id=J1156","http://dl.acm.org/citation.cfm?id=J1156&picked=prox"
"Transactions","ACM Transactions on Algorithms ","ACM Trans. Algorithms","1549-6325","1549-6333","Volume 1 Issue 1 (July 2005)","Volume 9 Issue 4 (September 2013)","http://dl.acm.org/citation.cfm?id=J982","http://dl.acm.org/citation.cfm?id=J982&picked=prox"
"Transactions","ACM Transactions on Applied Perception ","ACM Trans. Appl. Percept.","1544-3558","1544-3965","Volume 1 Issue 1 (July 2004)","Volume 10 Issue 4 (October 2013)","http://dl.acm.org/citation.cfm?id=J932","http://dl.acm.org/citation.cfm?id=J932&picked=prox"
"Transactions","ACM Transactions on Architecture and Code Optimization ","ACM Trans. Archit. Code Optim.","1544-3566","1544-3973","Volume 1 Issue 1 (March 2004)","Volume 10 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J924","http://dl.acm.org/citation.cfm?id=J924&picked=prox"
"Transactions","ACM Transactions on Asian Language Information Processing ","","1530-0226","1558-3430","Volume 1 Issue 1 (March 2002)","Volume 12 Issue 4 (October 2013)","http://dl.acm.org/citation.cfm?id=J820","http://dl.acm.org/citation.cfm?id=J820&picked=prox"
"Transactions","ACM Transactions on Autonomous and Adaptive Systems ","ACM Trans. Auton. Adapt. Syst.","1556-4665","1556-4703","Volume 1 Issue 1 (September 2006)","Volume 8 Issue 3 (September 2013)","http://dl.acm.org/citation.cfm?id=J1010","http://dl.acm.org/citation.cfm?id=J1010&picked=prox"
"Transactions","ACM Transactions on Computation Theory ","ACM Trans. Comput. Theory","1942-3454","1942-3462","Volume 1 Issue 1 (February 2009)","Volume 5 Issue 4 (November 2013)","http://dl.acm.org/citation.cfm?id=J1190","http://dl.acm.org/citation.cfm?id=J1190&picked=prox"
"Transactions","ACM Transactions on Computational Logic ","ACM Trans. Comput. Logic","1529-3785","1557-945X","Volume 1 Issue 1 (July 2000)","Volume 14 Issue 4 (November 2013)","http://dl.acm.org/citation.cfm?id=J773","http://dl.acm.org/citation.cfm?id=J773&picked=prox"
"Transactions","ACM Transactions on Computer Systems ","ACM Trans. Comput. Syst.","0734-2071","1557-7333","Volume 1 Issue 1 (Feb. 1983)","Volume 31 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J774","http://dl.acm.org/citation.cfm?id=J774&picked=prox"
"Transactions","ACM Transactions on Computer-Human Interaction ","ACM Trans. Comput.-Hum. Interact.","1073-0516","1557-7325","Volume 1 Issue 1 (March 1994)","Volume 20 Issue 5 (November 2013)","http://dl.acm.org/citation.cfm?id=J756","http://dl.acm.org/citation.cfm?id=J756&picked=prox"
"Transactions","ACM Transactions on Computing Education ","Trans. Comput. Educ.","","1946-6226","Volume 1 Issue 1es (March 2001)","Volume 13 Issue 4 (November 2013)","http://dl.acm.org/citation.cfm?id=J1193","http://dl.acm.org/citation.cfm?id=J1193&picked=prox"
"Transactions","ACM Transactions on Database Systems ","ACM Trans. Database Syst.","0362-5915","1557-4644","Volume 1 Issue 1 (March 1976)","Volume 38 Issue 4 (November 2013) - Invited papers issue","http://dl.acm.org/citation.cfm?id=J777","http://dl.acm.org/citation.cfm?id=J777&picked=prox"
"Transactions","ACM Transactions on Design Automation of Electronic Systems ","ACM Trans. Des. Autom. Electron. Syst.","1084-4309","1557-7309","Volume 1 Issue 1 (Jan. 1996)","Volume 19 Issue 1 (December 2013)","http://dl.acm.org/citation.cfm?id=J776","http://dl.acm.org/citation.cfm?id=J776&picked=prox"
"Transactions","ACM Transactions on Economics and Computation","ACM Trans. Econ. Comput.","2167-8375","2167-8383","Volume 1 Issue 1 (January 2013)","Volume 1 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J1359","http://dl.acm.org/citation.cfm?id=J1359&picked=prox"
"Transactions","ACM Transactions on Embedded Computing Systems ","ACM Trans. Embed. Comput. Syst.","1539-9087","1558-3465","Volume 1 Issue 1 (November 2002)","Volume 13 Issue 3 (December 2013)","http://dl.acm.org/citation.cfm?id=J840","http://dl.acm.org/citation.cfm?id=J840&picked=prox"
"Transactions","ACM Transactions on Graphics ","ACM Trans. Graph.","0730-0301","1557-7368","Volume 1 Issue 1 (Jan. 1982)","Volume 32 Issue 6 (November 2013)","http://dl.acm.org/citation.cfm?id=J778","http://dl.acm.org/citation.cfm?id=J778&picked=prox"
"Transactions","ACM Transactions on Information Systems ","ACM Trans. Inf. Syst.","1046-8188","1558-2868","Volume 1 Issue 1 (Jan. 1983)","Volume 31 Issue 4 (November 2013)","http://dl.acm.org/citation.cfm?id=J779","http://dl.acm.org/citation.cfm?id=J779&picked=prox"
"Transactions","ACM Transactions on Information and System Security ","ACM Trans. Inf. Syst. Secur.","1094-9224","1557-7406","Volume 1 Issue 1 (Nov. 1998)","Volume 16 Issue 3 (November 2013)","http://dl.acm.org/citation.cfm?id=J789","http://dl.acm.org/citation.cfm?id=J789&picked=prox"
"Transactions","ACM Transactions on Intelligent Systems and Technology ","ACM Trans. Intell. Syst. Technol.","2157-6904","2157-6912","Volume 1 Issue 1 (October 2010)","Volume 5 Issue 1 (December 2013) - Special Section on Intelligent Mobile Knowledge Discovery and Management Systems and Special Issue on Social Web Mining","http://dl.acm.org/citation.cfm?id=J1318","http://dl.acm.org/citation.cfm?id=J1318&picked=prox"
"Transactions","ACM Transactions on Interactive Intelligent Systems ","ACM Trans. Interact. Intell. Syst.","2160-6455","2160-6463","Volume 1 Issue 1 (October 2011)","Volume 3 Issue 3 (October 2013)","http://dl.acm.org/citation.cfm?id=J1341","http://dl.acm.org/citation.cfm?id=J1341&picked=prox"
"Transactions","ACM Transactions on Internet Technology ","ACM Trans. Internet Technol.","1533-5399","1557-6051","Volume 1 Issue 1 (Aug. 2001)","Volume 13 Issue 2 (December 2013)","http://dl.acm.org/citation.cfm?id=J780","http://dl.acm.org/citation.cfm?id=J780&picked=prox"
"Transactions","ACM Transactions on Knowledge Discovery from Data ","ACM Trans. Knowl. Discov. Data","1556-4681","1556-472X","Volume 1 Issue 1 (March 2007)","Volume 7 Issue 3 (September 2013) - Special Issue on ACM SIGKDD 2012","http://dl.acm.org/citation.cfm?id=J1054","http://dl.acm.org/citation.cfm?id=J1054&picked=prox"
"Transactions","ACM Transactions on Management Information Systems ","ACM Trans. Manage. Inf. Syst.","2158-656X","2158-6578","Volume 1 Issue 1 (December 2010)","Volume 4 Issue 3 (October 2013)","http://dl.acm.org/citation.cfm?id=J1320","http://dl.acm.org/citation.cfm?id=J1320&picked=prox"
"Transactions","ACM Transactions on Mathematical Software ","ACM Trans. Math. Softw.","0098-3500","1557-7295","Volume 1 Issue 1 (March 1975)","Volume 40 Issue 1 (September 2013)","http://dl.acm.org/citation.cfm?id=J782","http://dl.acm.org/citation.cfm?id=J782&picked=prox"
"Transactions","ACM Transactions on Modeling and Computer Simulation ","ACM Trans. Model. Comput. Simul.","1049-3301","1558-1195","Volume 1 Issue 1 (Jan. 1991)","Volume 23 Issue 4 (October 2013)","http://dl.acm.org/citation.cfm?id=J781","http://dl.acm.org/citation.cfm?id=J781&picked=prox"
"Transactions","ACM Transactions on Multimedia Computing, Communications, and Applications ","ACM Trans. Multimedia Comput. Commun. Appl.","1551-6857","1551-6865","Volume 1 Issue 1 (February 2005)","Volume 10 Issue 1 (December 2013)","http://dl.acm.org/citation.cfm?id=J961","http://dl.acm.org/citation.cfm?id=J961&picked=prox"
"Transactions","ACM Transactions on Programming Languages and Systems ","ACM Trans. Program. Lang. Syst.","0164-0925","1558-4593","Volume 1 Issue 1 (July 1979)","Volume 35 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J783","http://dl.acm.org/citation.cfm?id=J783&picked=prox"
"Transactions","ACM Transactions on Reconfigurable Technology and Systems ","ACM Trans. Reconfigurable Technol. Syst.","1936-7406","1936-7414","Volume 1 Issue 1 (March 2008)","Volume 6 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J1151","http://dl.acm.org/citation.cfm?id=J1151&picked=prox"
"Transactions","ACM Transactions on Sensor Networks ","ACM Trans. Sen. Netw.","1550-4859","1550-4867","Volume 1 Issue 1 (August 2005)","Volume 10 Issue 1 (November 2013)","http://dl.acm.org/citation.cfm?id=J981","http://dl.acm.org/citation.cfm?id=J981&picked=prox"
"Transactions","ACM Transactions on Software Engineering and Methodology ","ACM Trans. Softw. Eng. Methodol.","1049-331X","1557-7392","Volume 1 Issue 1 (Jan. 1992)","Volume 22 Issue 4 (October 2013) - Testing, debugging, and error handling, formal methods, lifecycle concerns, evolution and maintenance","http://dl.acm.org/citation.cfm?id=J790","http://dl.acm.org/citation.cfm?id=J790&picked=prox"
"Transactions","ACM Transactions on Speech and Language Processing ","ACM Trans. Speech Lang. Process.","1550-4875","1550-4883","Volume 1 (November 2004)","Volume 10 Issue 3 (July 2013) - Special issue on multiword expressions: From theory to practice and use, part 2","http://dl.acm.org/citation.cfm?id=J957","http://dl.acm.org/citation.cfm?id=J957&picked=prox"
"Transactions","ACM Transactions on Storage ","Trans. Storage","1553-3077","1553-3093","Volume 1 Issue 1 (February 2005)","Volume 9 Issue 4 (November 2013)","http://dl.acm.org/citation.cfm?id=J960","http://dl.acm.org/citation.cfm?id=J960&picked=prox"
"Transactions","ACM Transactions on the Web ","ACM Trans. Web","1559-1131","1559-114X","Volume 1 Issue 1 (May 2007)","Volume 7 Issue 4 (October 2013)","http://dl.acm.org/citation.cfm?id=J1062","http://dl.acm.org/citation.cfm?id=J1062&picked=prox"
"Transactions","IEEE/ACM Transactions on Computational Biology and Bioinformatics ","IEEE/ACM Trans. Comput. Biol. Bioinformatics","1545-5963","","Volume 1 Issue 1 (January 2004)","Volume 10 Issue 3 (May 2013)","http://dl.acm.org/citation.cfm?id=J954","http://dl.acm.org/citation.cfm?id=J954&picked=prox"
"Transactions","IEEE/ACM Transactions on Networking ","IEEE/ACM Trans. Netw.","1063-6692","","Volume 1 Issue 1 (Feb. 1993)","Volume 21 Issue 4 (August 2013)","http://dl.acm.org/citation.cfm?id=J771","http://dl.acm.org/citation.cfm?id=J771&picked=prox"
"Magazines","ACM Inroads","ACM Inroads","2153-2184","2153-2192","Volume 1 Issue 1 (March 2010)","Volume 4 Issue 4 (December 2013)","http://dl.acm.org/citation.cfm?id=J1268","http://dl.acm.org/citation.cfm?id=J1268&picked=prox"
"Magazines","Communications of the ACM","Commun. ACM","0001-0782","1557-7317","Volume 1 Issue 1 (Jan. 1958)","Volume 57 Issue 1 (January 2014)","http://dl.acm.org/citation.cfm?id=J79","http://dl.acm.org/citation.cfm?id=J79&picked=prox"
"Magazines","Computers in Entertainment ","Comput. Entertain.","","1544-3574","Volume 1 Issue 1 (October 2003)","Volume 10 Issue 3 (October 2012) - Theoretical and Practical Computer Applications in Entertainment","http://dl.acm.org/citation.cfm?id=J912","http://dl.acm.org/citation.cfm?id=J912&picked=prox"
"Magazines","Queue","Queue","1542-7730","1542-7749","Volume 1 Issue 1 (March 2003)","Volume 11 Issue 12 (December 2013) - Large-Scale Implementations","http://dl.acm.org/citation.cfm?id=J882","http://dl.acm.org/citation.cfm?id=J882&picked=prox"
"Magazines","StandardView","StandardView","1067-9936","1557-7376","Volume 1 Issue 1 (Sept. 1993)","Volume 6 Issue 4 (Dec. 1998)","http://dl.acm.org/citation.cfm?id=J741","http://dl.acm.org/citation.cfm?id=J741&picked=prox"
"Magazines","Ubiquity","Ubiquity","","1530-2180","Volume 2000 Issue February (February 1 - February 28, 2000)","Volume 2013 Issue December (December 2013)","http://dl.acm.org/citation.cfm?id=J793","http://dl.acm.org/citation.cfm?id=J793&picked=prox"
"Magazines","XRDS: Crossroads, The ACM Magazine for Students","XRDS","1528-4972","1528-4980","Volume 1 Issue 1 (September 1994)","Volume 20 Issue 2 (Winter 2013)","http://dl.acm.org/citation.cfm?id=J1271","http://dl.acm.org/citation.cfm?id=J1271&picked=prox"
"Magazines","eLearn","eLearn","","1535-394X","Volume 2001 Issue 5 (May 2001)","Volume 2013 Issue 12 (12-01-2013) - December 2013","http://dl.acm.org/citation.cfm?id=J815","http://dl.acm.org/citation.cfm?id=J815&picked=prox"
"Magazines","intelligence","Intelligence","1523-8822","1557-9425","Issue 24 (October 1970)","Volume 12 Issue 4 (Winter 2001)","http://dl.acm.org/citation.cfm?id=J372","http://dl.acm.org/citation.cfm?id=J372&picked=prox"
